customer_id,age,balance,risk_profile,marketing_channel,offer_amount,previous_investments,responded_before,membership_tier,accepted
0,75,199122.2,low,phone,79471,0,0,platinum,0
1,72,182826.57,high,in_branch,59413,1,1,gold,1
2,82,119785.23,high,sms,33092,1,1,gold,1
3,23,320109.79,high,sms,34806,1,0,standard,0
4,68,166134.85,low,email,66491,0,0,standard,0
5,68,56128.93,medium,in_branch,55093,1,1,gold,1
6,21,469082.84,medium,sms,78785,0,1,gold,0
7,38,121998.96,low,in_branch,27543,1,1,platinum,1
8,41,291790.55,low,sms,56922,1,0,standard,1
9,39,389210.47,high,email,87921,0,1,gold,0
10,24,52007.55,medium,phone,53817,0,0,platinum,0
11,76,258868.39,medium,phone,45315,1,1,standard,1
12,36,134108.78,medium,sms,35716,0,1,gold,1
13,36,226944.55,low,phone,13050,1,1,standard,1
14,19,11351.56,high,in_branch,44597,0,1,gold,0
15,43,417247.97,high,phone,48208,0,1,gold,1
16,47,384269.43,high,phone,24450,0,1,gold,1
17,50,411083.42,high,phone,17101,0,1,gold,1
18,41,270192.46,low,email,30997,0,0,standard,1
19,63,397573.41,high,phone,60699,1,1,gold,0
20,36,332874.05,medium,email,6324,1,0,gold,1
21,84,34950.28,high,in_branch,29161,1,1,gold,1
22,55,358376.33,high,phone,94409,0,0,standard,1
23,30,375946.07,low,sms,28160,1,0,standard,1
24,44,38717.82,medium,email,26092,1,1,platinum,1
25,59,215624.37,medium,sms,58318,1,1,platinum,1
26,73,254026.19,low,sms,85013,0,1,platinum,1
27,47,8384.88,high,phone,71459,0,0,gold,0
28,18,241100.53,low,email,59456,1,0,platinum,1
29,26,96164.47,high,sms,95256,1,0,standard,0
30,62,355681.25,high,in_branch,96681,0,1,gold,0
31,60,395334.96,medium,sms,71275,1,0,standard,1
32,62,394381.76,low,email,10183,0,0,platinum,1
33,30,372768.85,medium,phone,76524,0,1,gold,1
34,53,243830.69,high,email,34789,0,0,platinum,1
35,43,48030.95,medium,in_branch,36986,0,0,gold,1
36,31,409859.1,low,phone,51836,1,1,standard,1
